seq;Order;Family;IOC_15.2;English;Catalan;Chinese;Chinese (Traditional);Croatian;Czech;Danish;Dutch;Esperanto;Finnish;French;German;Italian;Japanese;Lithuanian;Norwegian;Polish;Portuguese (Lusophone);Portuguese (Portuguese);Russian;Serbian;Slovak;Spanish;Swedish;Turkish;Ukrainian;Afrikaans;Arabic;Belarusian;Bulgarian;Estonian;French (Gaudin);Greek;Hebrew;Hungarian;Icelandic;Indonesian;Korean;Latvian;Macedonian;Malayalam;Northern Sami;Persian;Romanian;Slovenian;Thai
4250;PSITTACIFORMES;Psittacidae;Ara chloropterus;Red-and-green Macaw;guacamai roig d'ales verdes;红绿金刚鹦鹉;紅綠麥鷍;zelenokrila ara;ara zelenokřídlý;Mørkerød Ara;Groenvleugelara;verdaflugila arao;vihersiipiara;Ara chloroptère;Grünflügelara;Ara rossoverde;ベニコンゴウインコ;žaliasparnė ara;grønnvingeara;ara zielonoskrzydła;arara-vermelha;arara-verde-e-vermelha;Зеленокрылый ара;Tamnocrvena ara;ara zelenokrídla;Guacamayo aliverde;grönvingad ara;Yeşil Kanatlı Ara;ара червоно-зелений;;;;Червено-син ара;rohetiib-aara;Ara chloroptère;;;zöldszárnyú ara;;;;;;;;;;;
4251;PSITTACIFORMES;Psittacidae;Leptosittaca branickii;Golden-plumed Parakeet;aratinga de plomall daurat;金羽鹦哥;金羽鸚哥;andska jandaja;aratinga zlatoperý;Højlandsparakit;Goudpluimparkiet;orpluma papago;kirjuriaratti;Conure à pinceaux d’or;Pinselsittich;Parrocchetto piumedorate;ミヤマインコ;auksaplunksnė papūga;gulduskparakitt;złotopiórka;periquito-do-páramo;periquitão-de-lista-dourada;Желтоусый попугай;Planinski špicastorepi papagaj;klinochvost horský;Aratinga de pinceles;guldplymsparakit;Sarı Sürmeli Papağan;папуга андійський;;;;;kivijugapuu-papagoi;Conure à pinceaux d'or;;;Branicki papagáj;;;;;;;;;;;
4252;PSITTACIFORMES;Psittacidae;Ognorhynchus icterotis;Yellow-eared Parrot;lloro d'orelles grogues;黄耳鹦哥;黃耳鸚哥;žutolica jandaja;arara žlutouchý;Guløret Parakit;Geeloorparkiet;flavorela papago;vahapalmuaratti;Conure à joues d’or;Gelbohrsittich;Pappagallo guancegialle;キミミインコ;geltonausė papūga;guløreparakitt;żółtoliczka;papagaio-de-orelha-amarela;periquitão-d'orelhas-amarelas;Желтоухий арара;Žutolika jandaja;arara žltosluchá;Aratinga orejigualda;gulörad parakit;Sarı Kulaklı Papağan;папуга жовтощокий;;;;;vahapalmi-papagoi;Conure à joues d'or;;;sárgafülű papagáj;;;;;;;;;;;
4253;PSITTACIFORMES;Psittacidae;Guaruba guarouba;Golden Parakeet;cotorra guarouba;金鹦哥;金色鸚哥;zlatna jandaja;aratinga žlutý;Guldparakit;Goudparkiet;ora papago;kulta-aratti;Conure dorée;Goldsittich;Parrocchetto dorato;ニョオウインコ;auksinė aratinga;gullparakitt;złotniczka;ararajuba;periquitão-dourado;Гуаруба;Zlatna jandaja;klinochvost žltý;Aratinga guaruba;guldparakit;Altın Papağan;гуаруба;;;;Златна аратинга;kuldaratinga;Conure dorée;;;aranyaratinga;;;;;;;;;;;
4254;PSITTACIFORMES;Psittacidae;Diopsittaca nobilis;Red-shouldered Macaw;guacamai noble septentrional;红肩金刚鹦鹉;紅肩麥鷍;mala ara;ara červenoramenný;Blåpandet Dværgara;Roodschouderara;ruĝaŝultra arao;pikkuara;Ara noble;Zwergara;Ara spallerosse;コミドリコンゴウインコ;raudonpetė ara;dvergara;epoletówka;maracanã-pequena;arara-d'ombros-vermelhos;Малый ара;Patuljasta plavočela ara;ara modročelá;Guacamayo noble norteño;rödskuldrad ara;Al Omuzlu Ara;ара червоноплечий;;;;Малък гвиански ара;väikeaara;Conure noble;;;kékhomlokú törpeara;;;;;;;;;;;
4255;PSITTACIFORMES;Psittacidae;Thectocercus acuticaudatus;Blue-crowned Parakeet;aratinga de cap blau;蓝冠鹦哥;冠藍鸚哥;plavoglava jandaja;aratinga modročelý;Blåkindet Aratinga;Blauwkoparatinga;blukrona papago;sinipääaratti;Conure à tête bleue;Spitzschwanzsittich;Aratinga testablù;トガリオインコ;mėlynvainikė aratinga;blåhodeparakitt;szmaragdzianka;periquitão-de-testa-azul;periquitão-de-cabeça-azul;Синелобая аратинга;Plavoglava aratinga;klinochvost modročelý;Aratinga cabeciazul;blåkronad parakit;Mavi Alınlı Papağan;аратинга синьолобий;;;;Синьочела аратинга;sinipea-aratinga;Conure à tête bleue;;;kékhomlokú aratinga;;;;;;;;;;;
4256;PSITTACIFORMES;Psittacidae;Psittacara holochlorus;Green Parakeet;aratinga verda;绿鹦哥;綠鸚哥;zelena jandaja;aratinga zelený;Grøn Aratinga;Groene Aratinga;verda papago;viheraratti;Conure verte;Grünsittich;Parrocchetto verde;テリハメキシコインコ;meksikinė aratinga;grønnparakitt;szmaragdolotka meksykańska;periquitão-verde;periquitão-verde;Мексиканская аратинга;Zelena aratinga;klinochvost smaragdový;Aratinga verde;grön parakit;Meksika Yeşil Papağanı;аратинга зелений;;;;;rohearatinga;Conure verte;;;zöld ékfarkúpapagáj;;;;;;;;;;;
4257;PSITTACIFORMES;Psittacidae;Psittacara brevipes;Socorro Parakeet;aratinga de l'illa Socorro;索岛鹦哥;索科洛鸚哥;sokorska jandaja;aratinga sokorrský;Socorro Aratinga;Socorroaratinga;sokora papago;;Conure de Socorro;Socorrosittich;Parrocchetto di Socorro;ソコロメキシコインコ;sokorinė aratinga;socorroparakitt;szmaragdolotka wyspowa;periquitão-de-socorro;periquitão-de-socorro;Сокоррская аратинга;Zelena aratinga sa ostrva Sokoro;klinochvost socorrský;Aratinga de Socorro;socorroparakit;Sokorro Papağanı;аратинга сокорський;;;;;socorro aratinga;Conure de Socorro;;;;;;;;;;;;;;
4258;PSITTACIFORMES;Psittacidae;Psittacara strenuus;Pacific Parakeet;;尼加拉瓜绿鹦哥;太平洋綠鸚哥;;aratinga pacifický;Nicaragua Aratinga;Pacifische Aratinga;pacifika papago;isoviheraratti;Conure de Ridgway;Mexikosittich;Parrocchetto del Pacifico;オオメキシコインコ;nikaragvinė aratinga;smaragdparakitt;szmaragdolotka pacyficzna;periquitão-do-pacífico;periquitão-do-pacífico;Зелёная аратинга;Nikaragvanska zelena aratinga;klinochvost hrubozobý;Aratinga del Pacífico;stillahavsparakit;Pasifik Papağanı;аратинга гватемальський;;;;;lõuna-rohearatinga;Conure de Ridgway;;;nicaraguai zöld aratinga;;;;;;;;;;;
4259;PSITTACIFORMES;Psittacidae;Psittacara wagleri;Scarlet-fronted Parakeet;aratinga de Wagler;红额鹦哥;猩紅額鸚哥;crvenočela jandaja;aratinga červenočelý;Colombiansk Aratinga;Waglers Aratinga;skarlatfrunta papago;kallioaratti;Conure de Wagler;Kolumbiensittich;Parrocchetto frontescarlatta;ミドリズアカインコ;kolumbinė aratinga;rødpanneparakitt;szmaragdolotka andyjska;periquitão-de-testa-vermelha;periquitão-de-testa-escarlate;Колумбийская аратинга;Kolumbijska aratinga;klinochvost Waglerov;Aratinga de Wagler;rödkronad parakit;Wagler Papağanı;аратинга колумбійський;;;;;kaljuaratinga;Conure de Wagler;;;Wagler aratingája;;;;;;;;;;;
4260;PSITTACIFORMES;Psittacidae;Psittacara frontatus;Cordilleran Parakeet;aratinga dels Andes;秘鲁红额鹦哥;;crvenokapa jandaja;aratinga andský;Peru Aratinga;Cordillera-aratinga;kordilera papago;;Conure casquée;Kordillerensittich;;;;oreadeparakitt;szmaragdolotka peruwiańska;periquitão-do-peru;periquitão-das-cordilheiras;;;klinochvost kordillersky;Aratinga cordillerana;kordiljärparakit;;аратинга андійський;;;;;;Conure casquée;;;;;;;;;;;;;;
4261;PSITTACIFORMES;Psittacidae;Psittacara mitratus;Mitred Parakeet;aratinga mitrada;红耳绿鹦哥;密垂德鸚哥;peruanska jandaja;aratinga škraboškový;Maskearatinga;Roodmaskeraratinga;mitra papago;pahta-aratti;Conure mitrée;Rotmaskensittich;Aratinga mitrata;ベニガオメキシコインコ;raudonskruostė aratinga;rødflekkparakitt;szmaragdolotka maskowa;periquitão-de-mitra;periquitão-mitrado;Краснолицая аратинга;Crvenolika aratinga;klinochvost diadémový;Aratinga mitrada;rödfläckig parakit;Alev Başlıklı Papağan;аратинга червонощокий;;;;;mägiaratinga;Conure mitrée;;;pirosálarcos aratinga;;;;;;;;;;;
4262;PSITTACIFORMES;Psittacidae;Psittacara erythrogenys;Red-masked Parakeet;aratinga de màscara roja;红头鹦哥;紅臉鸚哥;gvajakvilska jandaja;aratinga červenolící;Rødhovedet Aratinga;Ecuadoraratinga;ruĝmaska papago;punapääaratti;Conure à tête rouge;Guayaquilsittich;Aratinga testarossa;オナガアカボウシインコ;raudongalvė aratinga;rødmaskeparakitt;szmaragdolotka krasnolica;periquitão-de-cabeça-vermelha;periquitão-de-máscara-vermelha;Красноголовая аратинга;Crvenoglava aratinga;klinochvost červenolíci;Aratinga de Guayaquil;rödmaskparakit;Guayaquil Papağanı;аратинга червоноголовий;;;;;punapea-aratinga;Conure à tête rouge;;;Gvajakil-papagáj;;;;;;;;;;;
4263;PSITTACIFORMES;Psittacidae;Psittacara finschi;Finsch's Parakeet;aratinga de Finsch;绯额鹦哥;深紅額鸚哥;kostarička jandaja;aratinga rudočelý;Mellemamerikansk Aratinga;Finsch' Aratinga;karmezinfrunta papago;costaricanaratti;Conure de Finsch;Veraguasittich;Parrocchetto frontecremisi;アカビタイメキシコインコ;Finšo aratinga;karminpanneparakitt;szmaragdolotka czerwonoczelna;periquitão-centro-americano;periquitão-de-testa-carmim;Краснолобая аратинга;Finšova aratinga;klinochvost kostarický;Aratinga de Finsch;karmosinpannad parakit;Finsch Papağanı;аратинга червонолобий;;;;;kostariika aratinga;Conure de Finsch;;;vöröshomlokú ékfarkúpapagáj;;;;;;;;;;;
4264;PSITTACIFORMES;Psittacidae;Psittacara leucophthalmus;White-eyed Parakeet;aratinga d'ulls blancs;白眼鹦哥;白眼鸚哥;bjelooka jandaja;aratinga červenoskvrnný;Pavua Aaratinga;Witoogaratinga;blankokula papago;brasilianaratti;Conure pavouane;Pavuasittich;Parrocchetto occhibianchi;メジロメキシコインコ;baltaakė aratinga;amazonparakitt;szmaragdolotka białooka;periquitão-maracanã;periquitão-d'olho-branco;Белоглазая аратинга;Belooka aratinga;klinochvost bielooký;Aratinga ojiblanca;vitögd parakit;Ak Gözlü Papağan;аратинга венесуельський;;;;;salu-aratinga;Conure pavouane;;;pávua aratinga;;;;;;;;;;;
4265;PSITTACIFORMES;Psittacidae;Psittacara euops;Cuban Parakeet;aratinga de Cuba;古巴鹦哥;古巴鸚哥;kubanska jandaja;aratinga kubánský;Cuba Aratinga;Cubaanse Aratinga;kuba papago;kuubanaratti;Conure de Cuba;Kubasittich;Parrocchetto di Cuba;ホシメキシコインコ;kubinė aratinga;kubaparakitt;szmaragdolotka kubańska;periquitão-cubano;periquitão-cubano;Кубинская аратинга;Kubanska aratinga;klinochvost zelený;Aratinga cubana;kubaparakit;Küba Papağanı;аратинга кубинський;;;;;kuuba aratinga;Conure de Cuba;;;kubai aratinga;;;;;;;;;;;
4266;PSITTACIFORMES;Psittacidae;Psittacara chloropterus;Hispaniolan Parakeet;aratinga de la Hispaniola;伊岛鹦哥;希斯潘諾拉鸚哥;hispaniolska jandaja;aratinga hispaniolský;Hispañiola Aratinga;Hispaniola-aratinga;hispaniola papago;hispaniolanaratti;Conure maîtresse;Haitisittich;Parrocchetto di Hispaniola;アカガタミドリインコ;haitinė aratinga;hispaniolaparakitt;szmaragdolotka haitańska;periquitão-haitiano;periquitão-dominicano;Гаитянская аратинга;Haićanska aratinga;klinochvost zelenokrídly;Aratinga de La Española;hispaniolaparakit;Hispanyola Papağanı;аратинга гаїтійський;;;;;haiti aratinga;Conure maîtresse;;;hispaniolai papagáj;;;;;;;;;;;
4267;PSITTACIFORMES;Psittacidae;Psittacara maugei;Puerto Rican Parakeet;;波多黎各鹦鹉;波多黎各鸚哥;;aratinga portorický;Mona Aratinga;Puertoricaanse Aratinga;portorika papago;;Conure de Porto Rico;Monasittich;;プエルトリコインコ;;puertoricoparakitt;szmaragdolotka portorykańska;periquitão-porto-riquenho;periquitão-porto-riquenho;;Portorikanska aratinga;klinochvost portorický;Aratinga de Puerto Rico;puertoricoparakit;Porto Riko Papağanı;аратинга пуерто-риканський;;;;;;Conure de Porto Rico;;;;;;;;;;;;;;
4268;PSITTACIFORMES;Psittaculidae;Psittrichas fulgidus;Pesquet's Parrot;lloro de Pesquet;彼氏鹦鹉;帕斯克氏鸚鵡;orlolika papiga;tricha orlí;Børstehovedet Papegøje;Borstelkoppapegaai;agla papago;kaljunaamakaija;Psittrichas de Pesquet;Borstenkopfpapagei;Pappagallo di Pesquet;アラゲインコ;šeriagalvė papūga;børstepapegøye;sępica;papagaio-vulturino;papagaio-urubu;Грифовый попугай;Tamnoglavi orlasti papagaj;kastura orlia;Loro aguileño;borstpapegoja;Çıplak Yüzlü Papağan;папужець орлиноголовий;;;;;palepapagoi;Psittrichas de Pesquet;;;sörtefejű papagáj;;Nuri kabare;;;;;;;;;
4269;PSITTACIFORMES;Psittaculidae;Mascarinus mascarinus;Mascarene Parrot;lloro de l'illa de la Reunió;马斯卡林鹦鹉;馬斯卡拉鸚鵡;maskarenska papiga;maskaréňan běloskvrnný;Mascarener Papegøje;Maskarenenpapegaai;maskarena papago;maskareenienkaija;Mascarin de La Réunion;Maskarenenpapagei;Pappagallo delle Mascarene;マスカリンインコ;;maskarenepapegøye;aleksandretta reuniońska;papagaio-das-mascarenhas;papagaio-das-mascarenhas;Маскаренский попугай;Maskarenski vaza papagaj;ladniak kráľovský;Loro de las Mascareñas;réunionpapegoja;Maskarenya Papağanı;папужець маскаренський;;;;;réunioni pruunpapagoi;Perruche mascarin;;;maszkarénai papagáj;;;;;;;;;;;
4270;PSITTACIFORMES;Psittaculidae;Coracopsis vasa;Greater Vasa Parrot;lloro negre gros;马岛鹦鹉;大瓦薩鸚鵡;madagaskarska papiga;vaza velký;Vasapapegøje;Grote Vasapapegaai;granda vaza-papago;isomustakaija;Grand Vaza;Vasapapagei;Pappagallo vasa;クロインコ;didžioji vaza;vasapapegøye;papuzica duża;papagaio-vasa;papagaio-vasa;Большой ваза;Veliki vaza papagaj;krkavčík väčší;Loro vasa;större vasapapegoja;Kara Papağan;папужець-ваза великий;;;;;ronkpapagoi;Grand Vaza;;;nagy vázapapagáj;;;;;;;;;;;
4271;PSITTACIFORMES;Psittaculidae;Coracopsis barklyi;Seychelles Black Parrot;lloro negre de les Seychelles;塞舌尔黑鹦鹉;塞席爾鸚鵡;sejšelska papiga;vaza seychelský;Seycheller Vasapapegøje;Praslinvasapapegaai;sejŝela vaza-papago;seychellienmustakaija;Vaza des Seychelles;Seychellenpapagei;;セーシェルインコ;;seychellpapegøye;papuzica seszelska;papagaio-preto-das-seicheles;papagaio-das-seicheles;Сейшельский ваза;Sejšelski vaza papagaj;krkavčík krpatý;Loro de Seychelles;seychellvasapapegoja;Seyşeller Kara Papağanı;папужець-ваза сейшельський;;;;;;Vaza des Seychelles;;;;;;;;;;;;;;
4272;PSITTACIFORMES;Psittaculidae;Coracopsis sibilans;Comoro Black Parrot;lloro negre de les Comores;科摩罗黑鹦鹉;;komorska papiga;vaza komorský;Comoro Lille Vasapapegøje;Comorenvasapapegaai;komora vaza-papago;;Vaza des Comores;Komorenpapagei;;;;sotpapegøye;papuzica komorska;papagaio-preto-das-comores;papagaio-comorense;;;krkavčík komorský;Loro de las Comoras;komorvasapapegoja;;;;;;;;Vaza des Comores;;;;;;;;;;;;;;
4273;PSITTACIFORMES;Psittaculidae;Coracopsis nigra;Lesser Vasa Parrot;lloro negre petit;马岛小鹦鹉;小瓦薩鸚鵡;crna papiga;vaza malý;Lille Vasapapegøje;Kleine Vasapapegaai;eta vaza-papago;pikkumustakaija;Vaza noir;Rabenpapagei;Pappagallo nero;コクロインコ;juodoji vaza;svartpapegøye;papuzica mała;papagaio-preto-de-madagáscar;papagaio-preto;Малый ваза;Mali vaza papagaj;krkavčík menší;Loro negro;mindre vasapapegoja;Küçük Kara Papağan;папужець-ваза малий;;;;;mustpapagoi;Vaza noir;;;kis vázapapagáj;;;;;;;;;;;
4274;PSITTACIFORMES;Psittaculidae;Micropsitta keiensis;Yellow-capped Pygmy Parrot;lloro pigmeu carabrú;黄顶侏鹦鹉;黃頂侏鸚鵡;smeđolica papigica;papoušínek žlutotemenný;Kai Spættepapegøje;Geelkapspechtpapegaai;flavkrona nanpapago;sammalkaijanen;Micropsitte pygmée;Gelbkappen-Spechtpapagei;Pappagallo pigmeo capogiallo;キガシラケラインコ;rudaveidė nykštukinė papūga;gulkroneknøttpapitt;karłówka skromna;papagainho-de-coroa-amarelada;papagaio-pigmeu-de-touca-amarela;Желтоголовый карликовый попугайчик;Žutokapi mikropsita papagaj;papagájčik žltohlavý;Microloro de las Kai;gulkronad spettpapegoja;Sarı Başlı Cüce Papağan;папужка-пігмей кайський;;;;;ruugepea-kääbuspapagoi;Micropsitte pygmée;;;Salvador-papagáj;;Nuri-kate topi-kuning;;;;;;;;;
4275;PSITTACIFORMES;Psittaculidae;Micropsitta geelvinkiana;Geelvink Pygmy Parrot;lloro pigmeu de Geelvink;杰文侏鹦鹉;蓋爾文克侏鸚鵡;gelvinska papigica;papoušínek modrotemenný;Numfor Spættepapegøje;Biakspechtpapegaai;blukrona nanpapago;sinilakkikaijanen;Micropsitte de Geelvink;Biakspechtpapagei;Pappagallo pigmeo di Geelvink;キバラケラインコ;Šlėgelio nykštukinė papūga;gulbukknøttpapitt;karłówka brązowolica;papagainho-de-coroa-azul;papagaio-pigmeu-de-geelvink;Синеголовый карликовый попугайчик;Gelvinkov mikropsita papagaj;papagájčik okrovoprsý;Microloro de Geelvink;geelvinkspettpapegoja;Geelvink Cüce Papağanı;папужка-пігмей бронзовощокий;;;;;geelvinki kääbuspapagoi;Micropsitte de Geelvink;;;Schlegel-papagáj;;Nuri-kate geelvink;;;;;;;;;
4276;PSITTACIFORMES;Psittaculidae;Micropsitta pusio;Buff-faced Pygmy Parrot;lloro pigmeu cara-carbassa;棕脸侏鹦鹉;棕臉侏鸚鵡;modrokapa papigica;papoušínek okrovolící;Dværgspættepapegøje;Sclaters Spechtpapegaai;okravanga nanpapago;keltapääkaijanen;Micropsitte à tête fauve;Braunstirn-Spechtpapagei;Pappagallo pigmeo facciacamoscio;アオボウシケラインコ;saliamoninė nykštukinė papūga;rustfjesknøttpapitt;karłówka płowolica;papagainho-de-cara-fulva;papagaio-pigmeu-de-faces-fulvas;Буроголовый карликовый попугайчик;Sklaterov mikropsita papagaj;papagájčik hnedohlavý;Microloro pusio;dvärgspettpapegoja;Turuncu Yüzlü Cüce Papağan;папужка-пігмей вохристощокий;;;;;sinikiird-kääbuspapagoi;Micropsitte à tête fauve;;;Sclater-harkálypapagáj;;Nuri-kate pusio;;;;;;;;;
4277;PSITTACIFORMES;Psittaculidae;Micropsitta meeki;Meek's Pygmy Parrot;lloro pigmeu de Meek;米氏侏鹦鹉;米克氏黃胸侏鸚鵡;žutoprsa papigica;papoušínek žlutoprsý;Brunhovedet Spættepapegøje;Meeks Spechtpapegaai;flavbrusta nanpapago;suomupääkaijanen;Micropsitte de Meek;Meekspechtpapagei;Pappagallo pigmeo di Meek;シマバラケラインコ;Miko nykštukinė papūga;gulbrystknøttpapitt;karłówka żółtobrzucha;papagainho-de-peito-amarelo;papagaio-pigmeu-de-meek;Бурощёкий карликовый попугайчик;Mikov mikropsita papagaj;papagájčik žltoprsý;Microloro de Meek;gulbröstad spettpapegoja;Meek Cüce Papağanı;папужка-пігмей жовтоволий;;;;;kuld-kääbuspapagoi;Micropsitte de Meek;;;Meek-papagáj;;;;;;;;;;;
4278;PSITTACIFORMES;Psittaculidae;Micropsitta finschii;Finsch's Pygmy Parrot;lloro pigmeu de Finsch;芬氏侏鹦鹉;芬契氏翠綠侏鸚鵡;zelena papigica;papoušínek zelený;Grøn Spættepapegøje;Finsch' Spechtpapegaai;verda nanpapago;viherkaijanen;Micropsitte de Finsch;Salomonenspechtpapagei;Pappagallo pigmeo di Finsch;ソロモンケラインコ;žalioji nykštukinė papūga;grønnknøttpapitt;karłówka zielona;papagainho-verde;papagaio-pigmeu-de-finsch;Соломонский карликовый попугайчик;Finšov mikropsita papagaj;papagájčik zelený;Microloro de Finsch;grön spettpapegoja;Finsch Cüce Papağanı;папужка-пігмей зелений;;;;;rohe-kääbuspapagoi;Micropsitte de Finsch;;;Finsch-papagáj;;;;;;;;;;;
4279;PSITTACIFORMES;Psittaculidae;Micropsitta bruijnii;Red-breasted Pygmy Parrot;lloro pigmeu pit-roig;红胸侏鹦鹉;紅胸侏鸚鵡;zlatnolica papigica;papoušínek pestrý;Pragtspættepapegøje;Bruijns Spechtpapegaai;ruĝbrusta nanpapago;vuorikaijanen;Micropsitte de Bruijn;Rotbrust-Spechtpapagei;Pappagallo pigmeo pettorosso;アカガシラケラインコ;raudonkrūtė nykštukinė papūga;rødbukknøttpapitt;karłówka górska;papagainho-multicolor;papagaio-pigmeu-de-peito-vermelho;Красногрудый карликовый попугайчик;Detlić papagaj;papagájčik červenoprsý;Microloro pechirrojo;rödbröstad spettpapegoja;Boyalı Cüce Papağan;папужка-пігмей червоноволий;;;;;mägi-kääbuspapagoi;Micropsitte de Bruijn;;;örvös harkálypapagáj;;Nuri-kate dada-merah;;;;;;;;;
